Month,Fund,SP
Aug-2014,0.16,3.77
Sep-2014,0.66,-1.55
Oct-2014,1.18,2.32
Nov-2014,0.29,2.45
Dec-2014,2.55,-0.42
Jan-2015,0.44,-3.1
Feb-2015,0.44,5.49
Mar-2015,0.74,-1.74
Apr-2015,-0.4,0.85
May-2015,0.68,1.05
Jun-2015,0.68,-2.1
Jul-2015,1.26,1.97
Aug-2015,0.52,-6.26
Sep-2015,0.87,-2.64
Oct-2015,1.76,8.3
Nov-2015,3.09,0.05
Dec-2015,1.67,-1.75
Jan-2016,0.22,-5.07
Feb-2016,-0.47,-0.41
Mar-2016,3.51,6.6
Apr-2016,1.97,0.27
May-2016,1.6,1.53
Jun-2016,1.44,0.09
Jul-2016,0.41,3.56
Aug-2016,1.42,-0.12
Sep-2016,-0.28,-0.12
Oct-2016,0.25,-1.94
Nov-2016,-2.4,3.42
Dec-2016,1.78,1.82
Jan-2017,0.62,1.79
Feb-2017,0.58,3.72
Mar-2017,0.5,-0.04
Apr-2017,0.3,0.91
May-2017,1.33,1.16
Jun-2017,0.21,0.48
Jul-2017,1.35,1.93
Aug-2017,0.43,0.05
Sep-2017,0.61,1.93
Oct-2017,0.35,2.22
Nov-2017,0.39,2.81
Dec-2017,1.32,0.98
Jan-2018,0.09,5.62
Feb-2018,-0.12,-3.89
Mar-2018,0.3,-2.69
Apr-2018,0.15,0.27
May-2018,1.02,2.16
Jun-2018,-0.07,0.48
Jul-2018,0.41,3.6
Aug-2018,0.05,3.03
Sep-2018,-0.16,0.43
Oct-2018,-0.43,-6.94
Nov-2018,0.35,1.79
Dec-2018,-0.23,-9.18
Jan-2019,0.89,7.87
Feb-2019,1.13,2.97
Mar-2019,1.22,1.79
Apr-2019,1.17,3.93
May-2019,0.38,-6.58
Jun-2019,0.25,6.89
Jul-2019,0.66,1.31
